Time,PSim_Time,Alt-AGL-ft,Alt-ft,KIAS,Mach,Vg-kt,DownV-fps,EastV-fps,NorthV-fps,Nx,Ny,Nz,alpha-deg,beta-deg,HDG-rad,phi-deg,theta-deg,psi-deg,sigma-rad,ail,elev,rud,OAT-C,KIAS_filt
1970-01-01 18:51:54.445312500,67914.4453125,6326.5,10637,359.8,0.62871,404.28,2.66,122.64,671.24,0.018,-0.0062,1.0703,0.9698,0.154,0.1735,20.0059,0.7356,9.9424,0.1807,0,0,0,-2.684,350.057207213255
1970-01-01 18:51:54.671875000,67914.671875,6495,10636.9,359.8,0.62871,404.3,2.59,125.71,670.71,0.0181,-0.0061,1.0692,0.9674,0.151,0.1781,20.0049,0.7396,10.2064,0.1853,0,0,0,-2.684,350.051566574827
1970-01-01 18:51:54.875000000,67914.875,6609,10636.9,359.8,0.62872,404.32,2.54,127.91,670.32,0.0182,-0.0061,1.0685,0.9658,0.1491,0.1814,20.0043,0.7421,10.3958,0.1886,0,0,0,-2.683,350.046086687199
1970-01-01 18:51:55.109375000,67915.109375,6719.8,10636.8,359.8,0.62872,404.34,2.5,130.21,669.91,0.0183,-0.006,1.0678,0.9642,0.1473,0.1849,20.0037,0.7443,10.5932,0.192,0,0,0,-2.683,350.040768529478
1970-01-01 18:51:55.273437500,67915.2734375,6827.9,10636.8,359.8,0.62873,404.35,2.45,132.6,669.47,0.0185,-0.006,1.0672,0.9627,0.1456,0.1885,20.0032,0.7464,10.7985,0.1955,0,0,0,-2.683,350.035612840899
1970-01-01 18:51:55.531250000,67915.53125,6892.5,10636.7,359.8,0.62873,404.37,2.42,134.41,669.13,0.0185,-0.006,1.0669,0.9619,0.1445,0.1912,20.0029,0.748,10.9545,0.1982,0,0,0,-2.683,350.030620126014
1970-01-01 18:51:55.671875000,67915.671875,6914.8,10636.7,359.8,0.62874,404.39,2.38,137.18,668.61,0.0187,-0.0059,1.0665,0.9609,0.1429,0.1953,20.0025,0.7505,11.1925,0.2024,0,0,0,-2.683,350.025790659709
1970-01-01 18:51:55.867187500,67915.8671875,6930.6,10636.7,359.8,0.62874,404.41,2.35,139.18,668.22,0.0187,-0.0059,1.0662,0.9602,0.1419,0.1984,20.0022,0.7521,11.3647,0.2053,0,0,0,-2.683,350.021124492072
1970-01-01 18:51:56.062500000,67916.0625,6956.3,10636.6,359.8,0.62875,404.43,2.32,141.75,667.71,0.0187,-0.0059,1.0658,0.9592,0.1407,0.2022,20.0019,0.754,11.5859,0.2092,0,0,0,-2.683,350.016621453101
1970-01-01 18:51:56.281250000,67916.28125,6951.1,10636.6,359.8,0.62875,404.44,2.29,144.03,667.26,0.0188,-0.0058,1.0655,0.9584,0.1398,0.2056,20.0017,0.7555,11.7824,0.2126,0,0,0,-2.683,350.012281157244
1970-01-01 18:51:56.445312500,67916.4453125,6931.3,10636.6,359.8,0.62876,404.46,2.26,146.03,666.85,0.0188,-0.0058,1.0652,0.9577,0.1391,0.2086,20.0015,0.7566,11.9542,0.2156,0,0,0,-2.683,350.008103007795
1970-01-01 18:51:56.656250000,67916.65625,6917,10636.6,359.8,0.62876,404.47,2.25,147.45,666.56,0.0188,-0.0058,1.065,0.9572,0.1386,0.2108,20.0014,0.7574,12.0768,0.2177,0,0,0,-2.683,350.004086201118
1970-01-01 18:51:56.867187500,67916.8671875,6882.6,10636.6,359.9,0.62877,404.5,2.21,150.77,665.86,0.0189,-0.0058,1.0645,0.9561,0.1376,0.2158,20.0012,0.7591,12.3629,0.2227,0,0,0,-2.683,350.000229736811
1970-01-01 18:51:57.078125000,67917.078125,6905.8,10636.6,359.9,0.62878,404.52,2.19,153.14,665.35,0.0189,-0.0057,1.0642,0.9553,0.137,0.2193,20.0011,0.7601,12.5671,0.2262,0,0,0,-2.683,349.996532445981
1970-01-01 18:51:57.304687500,67917.3046875,6957.1,10636.6,359.9,0.62878,404.54,2.17,155.32,664.88,0.019,-0.0057,1.064,0.9547,0.1365,0.2226,20.001,0.7609,12.7548,0.2295,0,0,0,-2.683,349.99299303154
1970-01-01 18:51:57.484375000,67917.484375,6993.8,10636.6,359.9,0.62879,404.56,2.15,157.69,664.36,0.0191,-0.0057,1.0637,0.954,0.136,0.2262,20.0009,0.7618,12.9589,0.233,0,0,0,-2.683,349.989610096172
1970-01-01 18:51:57.765625000,67917.765625,7026.3,10636.7,359.9,0.6288,404.57,2.13,159.95,663.85,0.0191,-0.0057,1.0635,0.9534,0.1356,0.2296,20.0008,0.7626,13.1547,0.2364,0,0,0,-2.683,349.986382151873
1970-01-01 18:51:57.875000000,67917.875,7065,10636.7,359.9,0.62881,404.59,2.12,162.13,663.35,0.0191,-0.0057,1.0633,0.9529,0.1352,0.2329,20.0007,0.7632,13.3423,0.2397,0,0,0,-2.683,349.983307623243
1970-01-01 18:51:58.062500000,67918.0625,7105.2,10636.7,359.9,0.62881,404.61,2.1,164.39,662.82,0.0191,-0.0057,1.0631,0.9524,0.1349,0.2363,20.0006,0.7639,13.5379,0.2431,0,0,0,-2.683,349.980384850639
1970-01-01 18:51:58.265625000,67918.265625,7145.4,10636.7,359.9,0.62882,404.63,2.09,166.65,662.29,0.0191,-0.0057,1.0629,0.9519,0.1345,0.2397,20.0006,0.7645,13.7336,0.2465,0,0,0,-2.683,349.977612093165
1970-01-01 18:51:58.445312500,67918.4453125,7189.1,10636.7,359.9,0.62883,404.65,2.08,168.73,661.8,0.0191,-0.0057,1.0627,0.9515,0.1343,0.2428,20.0005,0.765,13.9129,0.2496,0,0,0,-2.683,349.974987531525
1970-01-01 18:51:58.664062500,67918.6640625,7216.7,10636.8,359.9,0.62883,404.67,2.06,171.17,661.2,0.0191,-0.0057,1.0625,0.951,0.134,0.2465,20.0004,0.7656,14.1248,0.2533,0,0,0,-2.683,349.972509270727
1970-01-01 18:51:58.867187500,67918.8671875,7224.9,10636.8,359.9,0.62884,404.68,2.06,172.3,660.93,0.0191,-0.0057,1.0625,0.9508,0.1339,0.2482,20.0004,0.7659,14.2225,0.255,0,0,0,-2.683,349.970175342636
1970-01-01 18:51:59.070312500,67919.0703125,7250.4,10636.8,359.9,0.62885,404.71,2.04,175.78,660.06,0.0191,-0.0057,1.0623,0.9503,0.1336,0.2535,20.0004,0.7667,14.5239,0.2603,0,0,0,-2.683,349.967983708394
1970-01-01 18:51:59.265625000,67919.265625,7272.9,10636.9,359.9,0.62886,404.72,2.03,177.93,659.52,0.0191,-0.0056,1.0622,0.95,0.1334,0.2568,20.0003,0.7672,14.7113,0.2635,0,0,0,-2.683,349.965932260694
1970-01-01 18:51:59.445312500,67919.4453125,7285.1,10636.9,359.9,0.62886,404.74,2.03,179.9,659.01,0.0191,-0.0056,1.0621,0.9498,0.1333,0.2597,20.0003,0.7676,14.8823,0.2665,0,0,0,-2.683,349.964018825916
1970-01-01 18:51:59.671875000,67919.671875,7292.1,10636.9,359.9,0.62887,404.76,2.02,182.43,658.35,0.0191,-0.0056,1.062,0.9495,0.1331,0.2636,20.0002,0.7682,15.1022,0.2703,0,0,0,-2.684,349.962241166129
1970-01-01 18:51:59.921875000,67919.921875,7298.4,10637,359.9,0.62888,404.78,2.01,184.4,657.83,0.0191,-0.0056,1.0619,0.9493,0.133,0.2666,20.0002,0.7686,15.2732,0.2733,0,0,0,-2.684,349.960596980955
1970-01-01 18:52:00.062500000,67920.0625,7306.8,10637,359.9,0.62888,404.8,2,186.92,657.15,0.0191,-0.0056,1.0619,0.9491,0.1329,0.2704,20.0002,0.7691,15.493,0.2771,0,0,0,-2.684,349.9590839093
1970-01-01 18:52:00.273437500,67920.2734375,7310.6,10637.1,359.9,0.62889,404.82,2,189.26,656.52,0.0191,-0.0056,1.0618,0.949,0.1328,0.274,20.0002,0.7696,15.6966,0.2807,0,0,0,-2.684,349.957699530963
1970-01-01 18:52:00.468750000,67920.46875,7293.8,10637.1,359.9,0.6289,404.83,1.99,191.4,655.93,0.0191,-0.0056,1.0618,0.9488,0.1328,0.2772,20.0002,0.77,15.8839,0.2839,0,0,0,-2.684,349.956441368105
1970-01-01 18:52:00.664062500,67920.6640625,7277.1,10637.1,359.9,0.6289,404.85,1.98,193.55,655.33,0.019,-0.0056,1.0617,0.9487,0.1327,0.2805,20.0001,0.7704,16.0711,0.2872,0,0,0,-2.684,349.955306886607
1970-01-01 18:52:00.867187500,67920.8671875,7259.2,10637.2,359.9,0.62891,404.87,1.98,195.87,654.67,0.019,-0.0056,1.0617,0.9485,0.1326,0.284,20.0001,0.7709,16.2746,0.2907,0,0,0,-2.684,349.954293497288
1970-01-01 18:52:01.062500000,67921.0625,7263.2,10637.2,359.9,0.62892,404.89,1.97,197.73,654.14,0.019,-0.0056,1.0616,0.9484,0.1326,0.2869,20.0001,0.7713,16.4375,0.2935,0,0,0,-2.684,349.953398557019
1970-01-01 18:52:01.273437500,67921.2734375,7277.8,10637.3,359.9,0.62892,404.91,1.96,200.43,653.36,0.019,-0.0056,1.0616,0.9483,0.1325,0.291,20.0001,0.7718,16.6735,0.2977,0,0,0,-2.684,349.952619369707
1970-01-01 18:52:01.445312500,67921.4453125,7278,10637.3,359.9,0.62893,404.92,1.96,202.29,652.81,0.019,-0.0056,1.0616,0.9482,0.1325,0.2938,20.0001,0.7721,16.8364,0.3005,0,0,0,-2.684,349.951953187174
1970-01-01 18:52:01.671875000,67921.671875,7282.2,10637.4,359.9,0.62894,404.94,1.95,204.51,652.15,0.019,-0.0056,1.0616,0.9481,0.1324,0.2973,20.0001,0.7725,17.0317,0.3039,0,0,0,-2.684,349.95139720991
1970-01-01 18:52:01.843750000,67921.84375,7325.7,10637.4,359.9,0.62894,404.96,1.95,206.74,651.48,0.019,-0.0056,1.0615,0.948,0.1324,0.3007,20.0001,0.7729,17.2271,0.3073,0,0,0,-2.684,349.950948587729
1970-01-01 18:52:02.078125000,67922.078125,7363,10637.4,359.9,0.62895,404.98,1.94,208.77,650.86,0.019,-0.0056,1.0615,0.9479,0.1324,0.3038,20.0001,0.7733,17.4062,0.3104,0,0,0,-2.685,349.950604420313
1970-01-01 18:52:02.265625000,67922.265625,7406.3,10637.5,360,0.62896,405,1.94,211.46,650.03,0.019,-0.0056,1.0615,0.9478,0.1323,0.3079,20,0.7737,17.6423,0.3145,0,0,0,-2.685,349.950361763735
1970-01-01 18:52:02.453125000,67922.453125,7431.7,10637.5,360,0.62896,405.01,1.93,213.03,649.54,0.0189,-0.0056,1.0615,0.9477,0.1323,0.3103,20,0.774,17.7807,0.3169,0,0,0,-2.685,349.95021765516
1970-01-01 18:52:02.664062500,67922.6640625,7478.1,10637.6,360,0.62897,405.03,1.92,215.89,648.63,0.0189,-0.0056,1.0615,0.9477,0.1323,0.3147,20,0.7745,18.033,0.3213,0,0,0,-2.685,349.950169149624
1970-01-01 18:52:02.843750000,67922.84375,7492.8,10637.6,360,0.62897,405.05,1.92,217.64,648.07,0.0189,-0.0056,1.0615,0.9477,0.1323,0.3174,20,0.7748,18.1877,0.324,0,0,0,-2.685,349.950213344535
1970-01-01 18:52:03.046875000,67923.046875,7496.5,10637.7,360,0.62898,405.06,1.91,220.13,647.27,0.0189,-0.0056,1.0615,0.9476,0.1323,0.3213,20,0.7752,18.4075,0.3278,0,0,0,-2.685,349.95034738581
1970-01-01 18:52:03.250000000,67923.25,7470,10637.7,360,0.62898,405.07,1.91,221.23,646.9,0.0189,-0.0056,1.0615,0.9476,0.1323,0.323,20,0.7754,18.5052,0.3295,0,0,0,-2.685,349.950568467836
1970-01-01 18:52:03.468750000,67923.46875,7385.7,10637.8,360,0.62899,405.1,1.9,224.72,645.75,0.0189,-0.0056,1.0615,0.9475,0.1322,0.3284,20,0.776,18.8146,0.3349,0,0,0,-2.685,349.950873833339
1970-01-01 18:52:03.664062500,67923.6640625,7349.5,10637.9,360,0.62899,405.12,1.9,227.02,644.98,0.0189,-0.0056,1.0615,0.9475,0.1323,0.3319,20,0.7764,19.0182,0.3384,0,0,0,-2.685,349.95126077317
1970-01-01 18:52:03.875000000,67923.875,7330.5,10637.9,360,0.629,405.13,1.89,228.85,644.35,0.0189,-0.0056,1.0615,0.9475,0.1322,0.3348,20,0.7767,19.181,0.3413,0,0,0,-2.685,349.951726626013
1970-01-01 18:52:04.054687500,67924.0546875,7325.3,10637.9,360,0.629,405.15,1.89,231.14,643.57,0.0188,-0.0056,1.0615,0.9475,0.1322,0.3383,20,0.7771,19.3846,0.3448,0,0,0,-2.686,349.952268778
1970-01-01 18:52:04.265625000,67924.265625,7326.9,10638,360,0.62901,405.17,1.88,233.43,642.77,0.0188,-0.0056,1.0615,0.9474,0.1322,0.3419,20,0.7775,19.5882,0.3483,0,0,0,-2.686,349.952884662269
1970-01-01 18:52:04.500000000,67924.5,7349.9,10638.1,360,0.62901,405.19,1.87,235.71,641.97,0.0187,-0.0056,1.0614,0.9473,0.1322,0.3454,20,0.7779,19.7917,0.3519,0,0,0,-2.686,349.953571758428
1970-01-01 18:52:04.664062500,67924.6640625,7340.9,10638.1,360,0.62902,405.2,1.87,237.81,641.23,0.0187,-0.0056,1.0614,0.9473,0.1322,0.3487,20,0.7782,19.979,0.3551,0,0,0,-2.686,349.954327591963
1970-01-01 18:52:04.882812500,67924.8828125,7316.4,10638.2,360,0.62902,405.22,1.86,240.09,640.41,0.0187,-0.0056,1.0614,0.9472,0.1322,0.3523,20,0.7786,20.1826,0.3587,0,0,0,-2.686,349.955149733565
1970-01-01 18:52:05.070312500,67925.0703125,7296.7,10638.2,360,0.62903,405.23,1.86,241.91,639.75,0.0187,-0.0056,1.0614,0.9472,0.1322,0.3551,20,0.7789,20.3455,0.3615,0,0,0,-2.686,349.956035798397
1970-01-01 18:52:05.257812500,67925.2578125,7244.2,10638.3,360,0.62903,405.25,1.85,244.27,638.88,0.0187,-0.0056,1.0614,0.9471,0.1322,0.3588,20,0.7793,20.5572,0.3652,0,0,0,-2.686,349.956983445294
1970-01-01 18:52:05.460937500,67925.4609375,7215.9,10638.3,360,0.62904,405.27,1.85,246.54,638.04,0.0187,-0.0056,1.0614,0.947,0.1322,0.3623,20,0.7797,20.7607,0.3687,0,0,0,-2.686,349.957990375898
1970-01-01 18:52:05.695312500,67925.6953125,7202.3,10638.4,360,0.62904,405.28,1.84,248.72,637.22,0.0187,-0.0056,1.0613,0.947,0.1322,0.3658,20,0.7801,20.9562,0.3721,0,0,0,-2.686,349.959054333742
1970-01-01 18:52:05.843750000,67925.84375,7188.1,10638.4,360,0.62904,405.3,1.84,250.62,636.5,0.0187,-0.0056,1.0613,0.9468,0.1322,0.3687,20,0.7804,21.1272,0.3751,0,0,0,-2.687,349.960173103261
1970-01-01 18:52:06.070312500,67926.0703125,7181.7,10638.5,360,0.62905,405.31,1.83,253.15,635.53,0.0187,-0.0056,1.0612,0.9466,0.1322,0.3727,20,0.7806,21.3551,0.3791,0,0,0,-2.687,349.961344508765
1970-01-01 18:52:06.281250000,67926.28125,7178.2,10638.6,360,0.62905,405.33,1.83,255.41,634.66,0.0187,-0.0056,1.0611,0.9464,0.1321,0.3763,20,0.7808,21.5586,0.3826,0,0,0,-2.687,349.962566413344
1970-01-01 18:52:06.468750000,67926.46875,7174.9,10638.6,360,0.62906,405.35,1.82,257.39,633.88,0.0187,-0.0056,1.061,0.9462,0.1321,0.3794,20,0.7809,21.7377,0.3857,0,0,0,-2.687,349.963836717732
1970-01-01 18:52:06.664062500,67926.6640625,7171,10638.7,360,0.62906,405.36,1.82,259.64,632.99,0.0187,-0.0056,1.0609,0.9459,0.1321,0.3829,20,0.7809,21.9411,0.3893,0,0,0,-2.687,349.965153359112
1970-01-01 18:52:06.859375000,67926.859375,7172.2,10638.7,360,0.62906,405.37,1.82,260.9,632.49,0.0187,-0.0056,1.0609,0.9457,0.1321,0.3849,20,0.7809,22.0551,0.3912,0,0,0,-2.687,349.966514309885
1970-01-01 18:52:07.062500000,67927.0625,7236,10638.8,360,0.62907,405.4,1.81,263.96,631.27,0.0186,-0.0056,1.0607,0.9453,0.1321,0.3898,20,0.7808,22.3317,0.396,0,0,0,-2.687,349.967917576383
1970-01-01 18:52:07.273437500,67927.2734375,7291.7,10638.9,360,0.62907,405.41,1.81,266.11,630.39,0.0186,-0.0056,1.0606,0.9451,0.1321,0.3932,20,0.7807,22.527,0.3994,0,0,0,-2.687,349.96936119755
1970-01-01 18:52:07.484375000,67927.484375,7279.2,10638.9,360,0.62908,405.43,1.81,268.35,629.47,0.0185,-0.0056,1.0605,0.9448,0.1321,0.3967,20,0.7805,22.7304,0.403,0,0,0,-2.688,349.970843243567
