Time,PSim_Time,Alt-AGL-ft,Alt-ft,KIAS,Mach,Vg-kt,DownV-fps,EastV-fps,NorthV-fps,Nx,Ny,Nz,alpha-deg,beta-deg,HDG-rad,phi-deg,theta-deg,psi-deg,sigma-rad,ail,elev,rud,OAT-C,KIAS_filt
1970-01-01 19:22:54.445312500,69774.4453125,29958.7,31471.5,225.1,0.60183,351.52,1.12,58.84,590.37,0.0992,0.0009,1.0635,4.7922,0.1553,0.1968,19.9855,4.433,11.2776,0.0993,0,0,0,-43.97,218.826636163868
1970-01-01 19:22:54.695312500,69774.6953125,29967.4,31471.7,225.1,0.60171,351.45,1.06,61.15,590.02,0.0979,-0.0026,1.0611,4.7468,0.1511,0.2006,19.9911,4.4271,11.4916,0.1033,0,0,0,-43.97,218.834057010335
1970-01-01 19:22:54.843750000,69774.84375,29977.2,31471.9,225.3,0.60217,351.38,0.99,63.46,589.66,0.0966,0.0039,1.0639,4.7948,0.1347,0.2045,19.9975,4.4177,11.7142,0.1072,0,0,0,-43.971,218.84154097977
1970-01-01 19:22:55.046875000,69775.046875,29986.5,31472.1,225.7,0.60318,351.3,0.94,65.8,589.27,0.0938,0.0045,1.0602,4.715,0.0664,0.2082,20.0007,4.4087,11.9271,0.1112,0,0,0,-43.971,218.849079880491
1970-01-01 19:22:55.250000000,69775.25,29995.6,31472.3,225.7,0.60331,351.22,0.95,68.1,588.86,0.0901,-0.0092,1.0535,4.691,0.1408,0.2116,20.0017,4.4017,12.1258,0.1151,0,0,0,-43.971,218.856666028424
1970-01-01 19:22:55.453125000,69775.453125,30004.8,31472.5,225,0.60143,351.12,1.01,70.3,588.44,0.0866,-0.0124,1.0428,4.6709,0.2119,0.2155,20.0057,4.3909,12.3478,0.1189,0,0,0,-43.972,218.864292392
1970-01-01 19:22:55.648437500,69775.6484375,30013.9,31472.7,225,0.60135,351.02,1.08,72.58,587.99,0.0872,-0.0011,1.0467,4.6909,0.1789,0.2196,20.0072,4.383,12.5828,0.1228,0,0,0,-43.972,218.871952523875
1970-01-01 19:22:55.867187500,69775.8671875,30023,31472.8,225.1,0.60171,350.92,1.13,74.85,587.54,0.0895,0.0074,1.0585,4.7412,0.1485,0.2237,20.007,4.3803,12.8147,0.1267,0,0,0,-43.973,218.879640328166
1970-01-01 19:22:56.046875000,69776.046875,30032.1,31473,225.5,0.60268,350.83,1.12,77.16,587.08,0.0891,0.0016,1.056,4.7229,0.0937,0.2275,20.0055,4.3795,13.0326,0.1307,0,0,0,-43.973,218.887349931189
1970-01-01 19:22:56.250000000,69776.25,30041.1,31473.2,225.1,0.60174,350.73,1.15,79.44,586.61,0.0866,0.0032,1.0408,4.6458,0.0816,0.2311,20.0037,4.3768,13.2396,0.1346,0,0,0,-43.973,218.895075740959
