Time,PSim_Time,Alt-AGL-ft,Alt-ft,KIAS,Mach,Vg-kt,DownV-fps,EastV-fps,NorthV-fps,Nx,Ny,Nz,alpha-deg,beta-deg,HDG-rad,phi-deg,theta-deg,psi-deg,sigma-rad,ail,elev,rud,OAT-C,KIAS_filt
1970-01-01 19:37:13.671875000,70633.671875,29595.8,31717,173.2,0.48075,275.09,-0.87,134.7,444.34,0.194,0.0042,1.157,9.056,0.1284,0.453,29.9981,8.1119,25.9557,0.2943,0,0,0,-43.961,173.035551593795
1970-01-01 19:37:13.875000000,70633.875,29606.7,31717.5,173.4,0.48137,274.92,-0.98,138.15,442.97,0.1892,-0.0016,1.1446,8.9026,0.1472,0.4599,29.9973,8.0805,26.3506,0.3023,0,0,0,-43.962,173.038077181355
1970-01-01 19:37:14.070312500,70634.0703125,29620.3,31718,173.5,0.48162,274.75,-1.04,141.55,441.59,0.1874,-0.0074,1.1439,8.877,0.1794,0.4668,29.9956,8.0453,26.7449,0.3102,0,0,0,-43.963,173.041125886843
1970-01-01 19:37:14.273437500,70634.2734375,29629.3,31718.5,173.7,0.48215,274.57,-1.09,144.93,440.18,0.1847,0.0015,1.1381,8.8316,0.1913,0.474,29.9976,8.0051,27.1572,0.3181,0,0,0,-43.964,173.044688161345
1970-01-01 19:37:14.445312500,70634.4453125,29645,31718.8,173.8,0.4824,274.44,-1.08,147.49,439.09,0.1831,-0.0069,1.1386,8.8138,0.1783,0.4793,29.9954,7.9835,27.4596,0.3241,0,0,0,-43.965,173.048754927185
1970-01-01 19:37:14.671875000,70634.671875,29629,31719.5,173.9,0.48269,274.21,-1.13,151.67,437.26,0.181,-0.0068,1.1387,8.8037,0.2069,0.488,29.9974,7.9472,27.9602,0.3339,0,0,0,-43.966,173.053317714538
1970-01-01 19:37:14.875000000,70634.875,29620.5,31720,174.1,0.48317,274.03,-1.15,155.01,435.76,0.1775,-0.0013,1.132,8.7165,0.196,0.4952,30.0006,7.916,28.3702,0.3418,0,0,0,-43.967,173.058368785356
1970-01-01 19:37:15.070312500,70635.0703125,29614.3,31720.5,174,0.48301,273.84,-1.13,158.34,434.22,0.1748,0.0009,1.1266,8.6593,0.1547,0.5023,30.0007,7.8863,28.7787,0.3497,0,0,0,-43.968,173.063901244641
1970-01-01 19:37:15.273437500,70635.2734375,29608,31721,173.9,0.48264,273.65,-1.09,161.62,432.67,0.1742,-0.0055,1.1269,8.6809,0.211,0.5092,30.0007,7.8598,29.1767,0.3575,0,0,0,-43.969,173.069909108609
1970-01-01 19:37:15.468750000,70635.46875,29601.9,31721.5,173.6,0.48199,273.46,-1.04,164.88,431.1,0.174,0.0024,1.1266,8.7136,0.1904,0.5164,30.0019,7.8269,29.5865,0.3653,0,0,0,-43.97,173.076387274936
1970-01-01 19:37:15.687500000,70635.6875,29596.7,31721.9,173.4,0.48148,273.31,-1,167.61,429.77,0.1744,-0.0044,1.1255,8.7315,0.2074,0.5222,30.0018,7.8041,29.919,0.3718,0,0,0,-43.971,173.083331382929
1970-01-01 19:37:15.875000000,70635.875,29589.6,31722.5,173,0.4803,273.11,-0.88,171.41,427.9,0.1721,-0.0106,1.1082,8.6087,0.1839,0.5301,30.0003,7.7773,30.3712,0.381,0,0,0,-43.972,173.090737594063
1970-01-01 19:37:16.070312500,70636.0703125,29583.5,31722.9,172.8,0.47991,272.94,-0.75,174.61,426.29,0.1729,-0.0031,1.1047,8.6022,0.1665,0.5367,29.9982,7.7564,30.7517,0.3888,0,0,0,-43.973,173.098602323343
1970-01-01 19:37:16.273437500,70636.2734375,29577.3,31723.3,172.9,0.48012,272.78,-0.62,177.75,424.71,0.1744,-0.0116,1.1094,8.6204,0.3266,0.5437,29.9988,7.7339,31.1489,0.3964,0,0,0,-43.974,173.106921976305
1970-01-01 19:37:16.468750000,70636.46875,29571.2,31723.7,172.9,0.48016,272.63,-0.43,180.93,423.08,0.1731,0.0066,1.0983,8.5387,0.2323,0.551,29.9972,7.7157,31.5706,0.4041,0,0,0,-43.974,173.115692783014
1970-01-01 19:37:16.671875000,70636.671875,29565.1,31724.1,172.6,0.47925,272.48,-0.24,184.07,421.45,0.1736,-0.0113,1.0945,8.5298,0.256,0.5581,29.9932,7.7113,31.9787,0.4118,0,0,0,-43.975,173.124910735146
1970-01-01 19:37:16.875000000,70636.875,29562.2,31724.4,172.8,0.47976,272.34,-0.02,187.21,419.8,0.175,0,1.094,8.5076,0.2654,0.5653,29.993,7.7105,32.3909,0.4195,0,0,0,-43.976,173.134571528726
1970-01-01 19:37:17.054687500,70637.0546875,29560.3,31724.6,173,0.48033,272.2,0.2,190.16,418.22,0.1726,-0.0083,1.0839,8.4157,0.32,0.5723,29.993,7.7115,32.7913,0.4267,0,0,0,-43.976,173.144670512516
1970-01-01 19:37:17.273437500,70637.2734375,29557.9,31724.8,173.2,0.48092,272.06,0.45,193.34,416.49,0.1728,-0.0042,1.088,8.4048,0.3848,0.5803,29.9937,7.7135,33.2511,0.4346,0,0,0,-43.977,173.155202739505
